,repo,commit,message
10,puppet-tripleo,f6e1a2ab71c39e822d05023c35900bf3b161191e,"fencing: Remove unused logic to detect deployment type

The tripleo::fencing class is used only at host and is not used by
puppet run inside containers. Thus checking the deployment_type fact
is useless and we can always assume the class is executed at host.

Change-Id: I87c78b6d12eeec7c69ed52eac5d6a261ae855aca
"
11,puppet-tripleo,16992c6ea499f044b3bdc0fdf0758efb1e806559,"MySQL Client: Remove logic for non-containerized deployment

... because current TripleO supports only running services in
containers.

Change-Id: I13d3d3f796071c19670cb04a30536ca161b624e0
"
12,puppet-tripleo,424d9d1f66870b208233d9552c2edb0819300ee4,"haproxy: Remove logic for non-containerized haproxy service

... because current TripleO no longer supports running haproxy service
at host.

Change-Id: Ic21f33d9a1003b32a1724d2bc4672a646afae211
"
13,puppet-tripleo,c4890a2b0072367f1bc8f182f5285e4eb33f2e05,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
"
14,puppet-openstack-integration,32acf4f527af92c87d40bc94b2e202e7fad9f444,"Merge ""Manila: Remove workaround for missing sudoers record"""
15,puppet-openstack-integration,36f5e3962cda999c39f3fc8b76d517d4f8d419bb,"Glance: Stop setting native ssl parameters

Glance has already removed support for native ssl support[1]. These
glance::api class parameters were also deprecated and will be removed
during this cycle.

[1] 2a2f349d8a1f0426f77bdbea6c70a316b4c3daa0

Depends-on: https://review.opendev.org/834501
Change-Id: I72fd6841d24197e9c747116437d49911e9c5b8b0
"
16,puppet-openstack-integration,06ba3a80f667473826ba7673ad3124c7c8ac3814,"Enable manila-data service

The puppet-manila module now supports setting up the service. Let's
enable the feature in our CI jobs.

Depends-on: https://review.opendev.org/865795
Change-Id: I329fab00774d131018ba65f374d7515fc439148a
"
17,puppet-openstack-integration,bc70d756b667aa6b5927efd1d20bcbd97c3ddfc3,"Manila: Remove workaround for missing sudoers record

... because it has been fixed in the manila package [1].

[1] https://review.rdoproject.org/r/c/openstack/manila-distgit/+/44699

Change-Id: Ic5b5327a1462cbe980356b8716f0558710abc6b1
"
18,puppet-openstack-integration,12f4f97d8c1a3736b336fe4a694844c37e7b148d,"Merge ""Install ruby-augeas in Debian"""
19,puppet-openstack-integration,8c2e41847e7ba15b4883c040e9865b93fa68bd8a,"Merge ""Remove logic for CentOS < 9"""
20,puppet-openstack-integration,017e308b491747418018dd005749351294fa3ea2,"Remove logic for CentOS < 9

... because RDO supports CentOS Stream 9 (aka CentOS 9) only since Zed.

Change-Id: Ic8f5d35aca87a5df40864aeec3b04b5ea746188c
"
21,puppet-openstack-integration,82d6eae24871afb79319744a208edb4008497515,"Allow disabling separate Ceph repository

This change introduces the new flag to disable the separate Ceph
repository. This is now required to migrate Ubuntu job to Jammy,
because the upstream ceph repository does not provide the packages
for Ubuntu Jammy yet.

Change-Id: I5549e5edea33e720a7d5cf67c3056036daca52fc
"
22,puppet-openstack-integration,1002258b5d318cce34ea61c9331487df437e876c,"Install ruby-augeas in Debian

... because the package is available in recent stable releases[1].
This allows us to make the logic to install the package simpler.

[1]
https://packages.debian.org/stretch/ruby-augeas
https://packages.debian.org/buster/ruby-augeas
https://packages.debian.org/bullseye/ruby-augeas

Change-Id: If9c4bdbb3d8c447303adb6ddee420c12ecda4133
"
23,puppet-openstack-integration,0ad3004b8074bf15423065abd7d0fd2fffa657d0,"Add dns/nameservers parameter to tempest config

After [1], designate-tempest-plugin requires parameter dns.nameservers
in tempest config or it fails some jobs. This patch is setting this
parameter always to <host ip>:5322 as that is what is used when
designate is deployed in p-o-i [2].

I am not doing this parameter conditional as it will just not be used when
designate is not deployed so I guess we do not need to manage that case
separatedly.

[1] https://review.opendev.org/c/openstack/designate-tempest-plugin/+/860116
[2] https://github.com/openstack/puppet-openstack-integration/blob/master/manifests/designate.pp#L92-L97

Change-Id: I0c1fa9c4f7e00aa0c90b996d22dec8c5adef6c48
"
24,puppet-nova,a50a1a95be0a0df54d02d6d013a3b561f7bf8790,"Merge ""Clean up parameters for service validation"""
25,puppet-nova,604905e8ad770db4e0567fdfed281c4dabc50b85,"Merge ""Support array value for console_ssl_ciphers"""
26,puppet-nova,fa343cb9a90324fec8f5dd5a9989f4eb99e6f45d,"Merge ""Migrate instance_name_template to the base class"""
27,puppet-nova,422770b70f70f37c31e4c3459f0a80e33106efa5,"Merge ""Deprecate support for [upgrade_levels] network"""
28,puppet-nova,dfb0351f88d6eb6ad07a3744ae3ad37829e6af28,"Clean up parameters for service validation

... service validation was deprecated during Yoga cycle by [1].
The parameters were left for interface compatibility but have had no
effect since then.

[1] 2476bd9af54f3df68fdb57085a25d9754fff455e

Change-Id: I4acfc7e903e0666e48c49c1911e67af8ab48d425
"
29,puppet-nova,68c507ffe8cbb6e672b9fedd51d0d6ad5925e7b9,"Merge ""Ensure [api] auth_strategy is wiped by default"""
30,puppet-nova,6d566d2d4075e21c969a1c90c1eb243ed44035eb,"Support array value for console_ssl_ciphers

The [colsone] ssl_ciphers option takes a colon-separated list. This
change allows usage of a native array value to set the value so that
users can more easily compose up the value without considering
the actual value format.

Change-Id: I1a1b43f040c8acc30a85164b03312683ab9002dc
"
31,puppet-nova,610ae05f9127b8c73e86f20dbff9ca0cd7e019e8,"Remove logic for CentOS < 9

... because RDO supports CentOS Stream 9 (aka CentOS 9) only since Zed.

Change-Id: I0ff6eb5da73d1be6fd8e5f1c8127f9b18116c7b9
"
32,puppet-nova,feb79359eb2cda759cfdb513d03302f1b2021c77,"Deprecate support for [upgrade_levels] network

... because the option was deprecated several cycles ago by [1].

[1] f0d2925bc71d0649f75fd3d281742f2e56e7e3b6

Change-Id: I66527f6ef2ad547621e80ea702ef65980db77b26
"
33,puppet-nova,c5fd57ddba61bfcc188f17950cd53e17cf5461c2,"Remove deprecated cinder parameters

This change removes the deprecated cinder parameters from the nova
classes, because these were all deprecated before Zed release.

This also makes the nova::cinder class removes all credential
parameters in case the password parameter is unset, because these are
useless unless the password parameter is given.

Change-Id: I4fbd1c23c1fec1310675dd69491626c0f98e3dda
"
34,puppet-nova,449507e1a929c60f0a89f9f0d3ee16d0103b8289,"Ubuntu/Debian: Install qemu-block-extra when rbd backend is used

In Ubuntu Jammy, the qemu-block-extra package is no longer required by
the qemu-utils package and should be additionally installed to use rbd
backend.

Change-Id: I2ae6ed374dda55f8f68c3be5449b1fcd2a890123
"
35,puppet-nova,ec7b9f29b44ccd9dda5b379c11414f23dc6ae0d7,"Allow customizing state of libvirt packages

... instead of hard-coding the state.

Change-Id: I4e62309109bf0889741dc2da9fcb7cd6c7ac011b
"
36,puppet-nova,da09ff11a2ece02cabac685a0dd8d5d3d12ba3a6,"Ensure [api] auth_strategy is wiped by default

... instead of leaving the parameter unmanaged.

Change-Id: Id0222c03595bdf04596cc9a5f51734460da69e62
"
37,puppet-nova,73eb553202e77ca3073764bb863cc07adc7f32c4,"Migrate instance_name_template to the base class

The [DEFAULT] instance_name_template parameter is used not only by
nova-api but by other services like nova-conductor or nova-compute.
This change migrate the parameter from the api class to the base class
so that users can configure the parameter for all services.

Change-Id: I0f590f12017e743a17d989d3a1008faa9b840e87
"
38,puppet-nova,d1fb621505eda9684f1563821c5c0b332a19fe1f,"Remove cleanup of [pci] passthrough_whitelist

This logic was added during the previous cycle[1] as part of migration
to the new [pci] device_spec parameter. The old parameter should be
removed when a deployment is upgraded to Zed so we no longer need this
beyond Zed.

[1] 502aec2406e59806d23e8d857920d5d8f2ca6cd3

Change-Id: I1e89883a9044b4d6bfd810d0a616b6a29aeff050
"
39,puppet-nova,39cb050371cee10a48638bd68e3289bae712569a,"Add support for [quota] count_usage_from_placement

This change adds support for the [quota] count_usage_from_placement
option in nova.conf, which allows nova to count core/ram usage
from placement.

Change-Id: I1668efd5f9fe2509e0fcfdd431dd74c304e3d0bd
"
40,puppet-nova,52fa5d2327ac58d665c74cb8ad48b960939ada7b,"Merge ""Replace redundant hard-code of [libvirt] inject_*"""
41,puppet-nova,925646312f1de99f409e6d39c362669342770138,"Merge ""Add support for [libvirt] wait_soft_reboot_seconds"""
42,puppet-nova,9fb6c8737848f065322af37b2d928b205448b8fd,"Add support for [libvirt] wait_soft_reboot_seconds

Change-Id: I68b81ef44f3c6f6c92d9bdb2b2a18091706ff99b
"
43,puppet-nova,82349d5145040d1e6a1d8029d9cdadfcd4945690,"Fix default value of [libvirt] file_backed_memory

... to ensure the parameter is removed from nova.conf by default.

Change-Id: Idff7de4d33c5352e994a0013a062b3e45c115d35
"
44,puppet-neutron,6798f5a0f85b8e7099fa3ed45c97094ed73d2648,"Merge ""Support [DEFAULT] l3_ha_network_* options"""
45,puppet-neutron,5ea0dce609e277c439d1cdbd32786ed0e7cd0be4,"Support [DEFAULT] l3_ha_network_* options

This change introduces support for a few new parameters so that users
can configure these parameters to customize the l3 ha network.

Change-Id: Ifa92f37041c76d80b74769eae06d061b546c49d8
"
46,puppet-neutron,1e55ead168ff053921e72615855fce79124e5883,"Remove support for networking-ansible

We deprecated the support during Zed cycle[1], because the plugin has
been unmaintained. So now we can remove the whole implementation.

[1] f82a231bad28f8bf9c4c2b3938d99091a54cfd3a

Change-Id: I4d1509232daf18c213664545bda1d7f7aa05b93b
"
47,puppet-neutron,eb1178f73c622f1a5970f9f7316f6935be51277d,"Clean up parameter for service validation

... service validation was deprecated during Yoga cycle by [1].
The parameter was left for interface compatibility but has had no
effect since then.

[1] 35659b8d918e8e10e8dbbadf29339d04069bceb3

Change-Id: I40782633478784b599bcba9ca29b525f2b952ece
"
48,puppet-neutron,55c77ffd34c7d9aac618432a58fc17ed94daaa6e,"Remove deprecated mech_driver defined resource type

... because it was deprecated during the previous cycle[1] and its
implementation is empty.

[1] 069b2226a9d521865725d84fe950558cb7c06036

Change-Id: Ied984b3f5e1515a4daa0c0a58bdf2b85e674f202
"
49,puppet-neutron,4305385ebc8654843bb275fff60c6b01a1b3a74b,"Document default values of neutron::designate parameters

This change fixes some missing description about the default values of
the neutron::designate class parameters, and makes the description
format more consistent.

Change-Id: I88f96f6a73921907cf076a8689b4113fc2b8170b
"
50,puppet-neutron,746280be8640e61e7263199c3eac28e0a3ee603c,"Remove support for networking-vpp plugin

... because it was deprecated during Zed cycle by [1].

[1] 7a47c5a29d530982ed85e5976de7b95992b9ed93

Change-Id: I64da797bc921702f710e7328ef3e230354e2ceaf
"
51,puppet-neutron,ed0709cb48d60462e503f0c28415dfa3c96ac1b9,"Remove support for NSX plugin

It was deprecated during Zed cycle by [1], because the plugin is no
longer maintained.

[1] c148a64307582445f7b1b6b3ae2cee4c7c6c0ea1

Change-Id: I95feecae2e3beaed00b4a8da4c2340a0006993c8
"
52,puppet-neutron,8e007943dcbc8c2d5ab90a846c0f7231c9a5738d,"Remove support for linuxbridge plugin config

... because it has been unused actually and was formally deprecated
during Zed cycle[1].

[1] 959c1cefeea69b65c67670b0ad44376843c9836f

Change-Id: Ie43d17c3e7d411c723986f52c4c2e1d49713711f
"
53,puppet-neutron,e1aef2ddd3b1d5794619e7840d642057b2410032,"ODL: Drop cleanup of [ovs] ovsdb_connection

... because it was added during Zed cycle[1] and the cleanup should be
done when a deployment is upgraded to Zed.

[1] d806c5a1bd3c967e59b0da245692996aef1008d4

Change-Id: Icf6c4e3c6585bfa01127695b2f00dbfb56692546
"
54,puppet-neutron,e0e35b84f4c8de9a10d1206cc201977fa822d4f0,"Remove remaining parameter of the Nicira NVP plugin

This change removes the remaining parameter of NVP plugin, which was
formally deprecated during the past cycle by [1].

[1] 4117660c384e703554b80a3a0599fc1911d173f5

Change-Id: I99fa84f86d7c14b21393373d4684c24a4571d00d
"
55,puppet-neutron,2dd6369f93e7a1149d1ca578bb5752d4d91b253f,"mlnx: Remove deprecated duplicate parameters

This change removes the two parameters of networking-mlnx-agent, which
were deprecated by [1] during the Zed cycle, in favor of the duplicate
parameters in the different common classes.

[1] f7b4c844bc95056d8a242332bcf60fcb5b49d8f5

Change-Id: I00cedb7a4a41333a6793d2358e64aa1ac4797fa8
"
56,puppet-neutron,5e9324e62f96ca2128548b95341b9376f400f85d,"ovn-metadata: Remove deprecated metadata_ip

The parameter was deprecated during the previous cycle[1], because
the actual parameter in Neutron had been removed a long ago.

[1] 189d7d6bea084b0298e5490c43157018a330f5c4

Change-Id: Id07aa47e723b44d53aaac02bbdb3f0b4e8d72968
"
57,puppet-neutron,312f8ea954c9b0443520ed364c6a9df75239281b,"Contrail: Clean up deprecated parameters

This removes the parameters which were deprecated during the previous
cycle[1][2] and have had no effect since then.

[1] b35ceea55a0201fc59dc986e444593c4fbe37d70
[2] 766570bd5a38832181dce79a16920e63a2dff6ec

Change-Id: I48b9557e2552f12c25ce8149d92978394d0cc249
"
58,puppet-keystone,2d6bab823199c8b2c0b5d871349d2f67aadfc2af,"Fix wrong indent

Trivial-Fix

Change-Id: I79e39b43baa5963e13a4fda404244e6787980f9e
"
59,puppet-keystone,76505f1c12443703ffe047503b2c2bde1d25c830,"Remove deprecated keystone::service

This defined resource type was deprecated during the past cycle[1] and
can be removed.

[1] 05c5605e98fcc0da33386065c2c315d69103b891

Change-Id: Ib4c7565462e32be2d4dab4b0c538410ad98aefaf
"
60,puppet-keystone,aa394b17757baee5f168e6ff3ecc8957be8e42cc,"Remove keystone_puppet_config resource type

This is no longer used since we replaced the configuration file by
clouds.yaml. The resource was already deprecated by [1] in the past
cycle so can be removed.

[1] c140a44aebb271558c81e528aba8b6dcb4989a62

Change-Id: I631c0a14cc0ee5b56e7864980da9a651d6bf7d9b
"
61,puppet-keystone,b99810d6f9844d6cf5eac966672164c1db5bac6f,"Remove deprecated parameters for [ssl] options

These parameters were deprecated during the previous cycle[1].

[1] 0954fea1d6b556681bb81d5d854b2f60a11b737d

Change-Id: I67755c4181868e137928f9444fae4be09f511c36
"
62,puppet-keystone,e19a4c31510fb751cecf36bc74ced5047de803b2,"Remove deprecated keystone::log_* parameters

These parmaeters have had no effect for a while and were deprecated
formally during the previous cycle[1].

[1] 1f13f9ed6b26b2d408371c31c41a1b82d9a6ab6b

Change-Id: Iff34bd86a92d4f92ea46115889f83e37b68aba31
"
63,puppet-keystone,e8a58596b2ceb2e95cb0a439c56cb7bc19ddc021,"Remove warning message for old change

This removes the warning message added to inform the old change which
was merged multiple cycles ago[1], because we can safely assume users
are aware of this change.

[1] 3c08645ba8b894d3adce3d65464dd43a0a33ce55

Change-Id: Ifca8a60409093b31f780c6a47a9cce0f9635286e
"
64,puppet-keystone,19b541df10e595253a0c0c0b164be434402ada8b,"Debian: Ensure keystone service is stopped when httpd is used

This change fixes the missing logic to ensure the standalone keystone
service is stopped when httpd + mod_wsgi is used to run the keystone
service.

Change-Id: I3ae6b9192c3c3d15fbf25be5d276efbcf2e9639b
"
65,puppet-keystone,91483e50e81addfab322273076bd5e2137c4648b,"Make WSGI process display-name configurable

Change-Id: I3bfbd0283d1e9005719085d86cd00729c9002c43
"
66,puppet-keystone,f5cb86159a0d8b5999d6a8c2868998b2efb8c013,"Fix a typo in parameter description

Change-Id: I9bc9f94f157bf991b174cbfc9f2d369d35d3371c
"
67,puppet-keystone,16309d9d062049f388808e6685f879e78263ac8d,"Fix inconsistent port parameter name

The keystone::wsgi::apache class takes the api_port parameter but
the other modules uses the port parameter instead.

This change fixes the inconsistent interface.

Change-Id: Ib6a643eedbb2ecd5050c10cc5ae98ffaabb441f5
"
68,puppet-keystone,2163a8f2bb6b6bca3156608ee06ce8834ec10873,"Fix dependency to purge default vhost config

It turned out defining dependency for openstacklib::wsgi::apache
doesn't properly enforce resource order and the default vhost file
is not purged properly.
This change adds the more explicit dependency to enforce the order
properly.

Change-Id: I2a01de89c43000bfc6f24dfc756806b968b5efd6
"
69,puppet-keystone,7465a117bde8ae438e0424216026051a896d165b,"Allow customizing --date option for trust_flush cron job

This change introduces the new age parameter so that --date options is
enabled when running the trust_flush cron job.

Change-Id: I7d4a5a08c73683fff8fd270e5bc991531f8dda48
"
70,puppet-keystone,ae0b8a6772cb915831bcf6affad910287c9136bd,"Remove old puppet.conf resource in bootstrap class

This is no longer used and can thus be removed.

Change-Id: If7aa3781c0cfc44c1744e4d7f5ba235ed5eb0054
"
71,puppet-keystone,c0c885422db10764286b08ce00a93403dd29e025,"Merge ""Adapt to new type validation in puppetlabs-apache"""
72,puppet-keystone,a5402c1e01b74dd21b699e6b972570e376e5ec5e,"Adapt to new type validation in puppetlabs-apache

The puppetlabs-apache module is enforcing more strict data type
validation[1].

This change updates the default values to adapt to that change.

[1] https://github.com/puppetlabs/puppetlabs-apache/commit/f41251e336fa3e7c31c19968ccee74121cf71e47

Closes-Bug: #1983300
Depends-on: https://review.opendev.org/851652
Change-Id: Ic9cf630f6f1a8907e069ed10728f2a8c50b75d79
"
73,puppet-cinder,daa5d5cb188daaf3ecd9a9a97f087416feca26ae,"NetApp: Deprecate support for netapp_copyoffload_tool_path

... because the parameter was already deprecated in cinder.

Depends-on: https://review.opendev.org/c/openstack/cinder/+/847733
Change-Id: I9ebb3f6a214222457547f687c6f3abd2b9c058fb
"
74,puppet-cinder,f1cee735a2df6f920a501800a8c02679aa2606a7,"Clean up parameter for service validation

... service validation was deprecated during Yoga cycle by [1].
The parameter was left for interface compatibility but has had no
effect since then.

[1] d944a76b95fb82fe161159954f3dfe720726bcfc

Change-Id: I16936b092df46c689813b80557e24542b7d43093
"
75,puppet-cinder,3a63b7145b8a98e3a1189bae98a6b7a7834c2f6d,"NFS driver: Remove deprecated nfs_disk_util

The parameter was deprecated during the previous cycle[1] and has had
no effect since then.

[1] eb3361bc9981a6e3a50bc9ac9ec53f76bf140743

Change-Id: I3632a55f8f75873f1a9178bf42bac1f6c97d3c24
"
76,puppet-cinder,fa671e8ed6dfb80aee18d2ea1fdf7420f4f68371,"Support for Cinder IBM Svf driver

This patch adds support for Cinder IBM Spectrum virtualize family (Svf)
driver.

Change-Id: I43f954879de6ce70237cb468e7ef1fbc2649edcd
"
77,puppet-cinder,12a1f1ffd2ee82ac6dc8a37ee9bac67323428024,"Clean up enable_v3_api parameter

... because it was deprecated during Yoga cycle[1].
The actual parameter was already removed from cinder by [2].

[1] 40885d15bb92faa3e3902e7505da24c5e7c5fc5e
[2] 81831c915aff5f83741968b758934abcef92b0e9

Change-Id: I61a44e878129dbd1df08bd19fe38040215606635
"
78,puppet-cinder,07b54d1d0539bde6e9c5b496f028265508f856b8,"Prepare to replicate lvm setup functionality

This is the preparation work to replicate the functionality to create
volume group to puppet-manila.

Change-Id: I2473eba3c463828ad5036ebd52e192cd14b75b68
"
79,puppet-cinder,d0d1da0b4a31e628d56e578745c7101aa5f61028,"Fix detection of existing PV

Existing PV should be detected by the physical device name, not by
the volume group name. This also simplifies the command to determine
whether the VG exists.

Change-Id: I8d694d8127cf5cfb1e2a6525599616a2c2f9934d
"
80,puppet-cinder,9fea76ab0de1a08c12cf76b1b9f9a49c893fbad6,"Ensure lvm setup is completed before starting services

The lvm setup process should be completed before cinder-volume starts,
otherwise cinder-volume fails to initialize the backend and the service
status remains down until the cinder-volume service is restarted.

Change-Id: Icd8401d8a1bfaf5bd4b235c177711a0afcab5e55
"
81,puppet-cinder,8cc758614af1ac5df32af3348dcc594ca0c7e759,"Use standard parameter description format for wsgi::apache

Currently parameter description of the <module>::wsgi::apache classes
are formatted differently in individual modules, and this is making
the maintenance effort quite difficult.

This change updates the description format following the srandard one
we are globally using in our modules to reduce undesired differences
between modules.

Change-Id: I7c8cfb2cf7303fcb280e411276cf121bd1c9a74b
"
82,puppet-cinder,9ba56af0d050be5139c8f4b49c4ef39d132e2322,"Support [DEFAULT] image_conversion_disable

... which was added during Zed cycle.

Depends-on: https://review.opendev.org/839793
Related-Bug: #1970115
Change-Id: I0be505b76da7bf40ffd8fe990cdea08c7839f747
"
83,puppet-cinder,fe36a69db0013299a1eeae3bd71d007c19034792,"Support more customization of image conversion

This change introduces a few new parameters to allow users to customize
behavior of image conversion process in Cinder.

Change-Id: Ic94bfaee69c7eab3c3d8e00157ef29cfa9a72963
"
84,puppet-cinder,162b4bbe60260e1b7d86accdcfa773ffac5c3a78,"Remove old description about volume_tmp_dir

The cinder::backend::rbd::volume_tmp_dir parameter was removed several
cycles ago[1] and has been completely replaced. The current description
is bit confusing because the old parameter no longer exists.

[1] 5c5a7dbf95650ff476604d369bfc197a757beab8

Change-Id: I5e724ffcb7b60ed154abae32c93256cde6e80493
"
85,puppet-cinder,94d0e62ed13e792a8e97c6226de7b39edc253605,"Add support for [DEFAULT] backup_swift_service_auth

This change introduces support for [DEFAULT] backup_swift_service_auth
which was recently added to the swift backup driver.

Depends-on: https://review.opendev.org/c/openstack/cinder/+/840289
Change-Id: I32b19f298311266e913507661dbe2a65e0cfe5f0
"
86,puppet-ironic,6fd748956f0d44584cc38df1886ca7b3b9e96fdd,"Add support for [agent] command_wait_* options

... so that users can tune how asynchronous commands completion is
handled.

Change-Id: I9c84ea89ed6a1844b9facf95bd405ba51790401c
"
87,puppet-ironic,1929c31aacf2aa5adc05a36e75fcdd1951942c4d,"Remove logic for CentOS < 9

... because RDO supports CentOS Stream 9 (aka CentOS 9) only since Zed.

Change-Id: I7514c4384a15b235a54f1c310f6d0167089e0515
"
88,puppet-ironic,6f50d93cf842f57fb76a4323559a099ce06209cd,"Merge ""pxe: Allow disabling http server"""
89,puppet-ironic,d4627d40212ba0a16d7cb90a45063ccceca3b516,"pxe: Add option to determine status of dnsmasq tftp server

... so that all classes with service resources provide the consistent
capability.

Change-Id: Ic2f5d5140320f1a5921d5fa4984e6a8773aa304f
"
90,puppet-ironic,449150fd050ec44208551516e0dbccdefe0e2681,"Add manage_service parameter

... so that users can disable service management by Puppet. The same
functionality is already implemented in the other modules.

Change-Id: If08149ebd7b40b106327d5363f6b28e51176510e
"
91,puppet-ironic,084c0e54a39f77d8ef8bedba4a8903d2076559b0,"pxe: Allow disabling http server

This change introduces a new option to disable resources to set up http
server for ipxe boot. This is useful, when ipxe boot interface is not
used or users have their own external tooling to maintain the http
server.

Change-Id: Ic767795442ee68ce8dda6bc8b53493ac17f6f40c
"
92,puppet-ironic,2504f817b05ba090b8a3ef40c912482fd6d2cb3d,"Use standard parameter description format for wsgi::apache

Currently parameter description of the <module>::wsgi::apache classes
are formatted differently in individual modules, and this is making
the maintenance effort quite difficult.

This change updates the description format following the standard one
we are globally using in our modules to reduce undesired differences
between modules.

Change-Id: I573b1d656268ea7004c16a571afca6489893f0f5
"
93,puppet-ironic,62043acf72fdf0854d327dd692ed55644fbf24c3,"Add Apache WSGI logging parameters for pipe/syslog

Add parameters for advanced logging configurations in Apache to
support piped logging and support for syslog (via mod_syslog
available in Apache >= 2.5.0)

Co-Authored-By: Andy Botting <andy@andybotting.com>
Change-Id: I55f899284edfe15c177e5253bb3e278d73955fe9
"
94,puppet-ironic,3213f8e2dfdec4b5c2f981aa986d7ab520c56549,"Merge ""Fix type validation error with puppetlabs-apache 8.0.0"""
95,puppet-ironic,fbc55f821dd668da6d4ea91c0b796cb913846ddd,"Fix type validation error with puppetlabs-apache 8.0.0

This is follow-up of 11c3e1acad2db20ce9e2a959eba6211bef1e17b3 and fixes
type validation error of apache::vhost::port, which now accepts only
an integer value.

Related-Bug: #1983300
Change-Id: I8594d5857c54a860cdbb740acb63b5104a29c655
"
96,puppet-ironic,11c3e1acad2db20ce9e2a959eba6211bef1e17b3,"Adapt to new type validation in puppetlabs-apache

The puppetlabs-apache module is enforcing more strict data type
validation[1].

This change updates the default values to adapt to that change.

[1] https://github.com/puppetlabs/puppetlabs-apache/commit/f41251e336fa3e7c31c19968ccee74121cf71e47

Closes-Bug: #1983300
Depends-on: https://review.opendev.org/851652
Change-Id: Idde8d7201d36f07f200e06781b331ebe75c0d7b3
"
97,puppet-ironic,05a1a039609a5f686a025bbbe96afe6e65bc5b68,"conductor: Support tuning of heartbeats

This change adds support for the following parameters so that users can
tune heart beats in the ironic-conductor service.

- [conductor] heartbeat_interval
- [conductor] heartbeat_timeout

Depends-on: https://review.opendev.org/850298
Change-Id: Ic4ceaf703b897c7266d802f5394ae065ef2d11a1
"
98,puppet-ironic,df934502622fe834f03316af02d926fa232e558d,"Merge ""Get rid of unnecessary ensure_resource"""
