,file_,XCM
39,roles/manifests/openstack/pmlc_controller.pp,Add roles for pmlc versions of openstack boxen
40,roles/manifests/openstack/pmlc_ceph_osd.pp,Add roles for pmlc versions of openstack boxen
41,roles/manifests/openstack/pmlc_compute.pp,Add roles for pmlc versions of openstack boxen
42,roles/manifests/openstack/pmlc_mongo.pp,Add roles for pmlc versions of openstack boxen
43,roles/manifests/deploy.pp,Initial commit
44,roles/manifests/default.pp,Initial commit
45,roles/manifests/foreman/bootstrap_server.pp,Initial commit
46,roles/manifests/foreman/proxy.pp,Initial commit
47,roles/manifests/foreman/server.pp,Initial commit
48,roles/manifests/ftp/server.pp,Initial commit
49,roles/manifests/init.pp,Initial commit
50,roles/manifests/openstack/ceph_osd.pp,Initial commit
51,roles/manifests/openstack/compute.pp,Initial commit
52,roles/manifests/openstack/controller.pp,Initial commit
53,roles/manifests/openstack/mongo.pp,Initial commit
54,roles/manifests/puppet/ca.pp,Initial commit
55,roles/manifests/puppet/db.pp,Initial commit
56,roles/manifests/puppet/master.pp,Initial commit
57,roles/tests/init.pp,Initial commit
58,pmlc_nova/manifests/init.pp,Initial commit
59,pmlc_nova/manifests/params.pp,Initial commit
60,pmlc_nova/manifests/compute/config.pp,Initial commit
61,pmlc_nova/manifests/compute.pp,Initial commit
62,pmlc_nova/manifests/compute/install.pp,Initial commit
63,pmlc_nova/manifests/compute/service.pp,Initial commit
64,pmlc_nova/manifests/controller.pp,Initial commit
65,pmlc_nova/manifests/controller/config.pp,Initial commit
66,pmlc_nova/manifests/controller/install.pp,Initial commit
67,pmlc_nova/manifests/controller/service.pp,Initial commit
68,pmlc_nova/tests/init.pp,Initial commit
69,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,Update server.pp
70,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/dashboard.pp,Add dashboard
71,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/params.pp,Update params.pp
72,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/client.pp,Integrate python client
73,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/ha.pp,Adding HA-proxy supports.
74,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/keystone/auth.pp,Create auth.pp
75,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/keystone.pp,Adding keystone supports.
76,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/init.pp,Update init.pp
77,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/db.pp,Update db.pp
78,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/agent.pp,Update agent.pp
79,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/agent.pp,Migrate to v2.0.0 FuelPlugin package version
80,pmlc_neutron/manifests/server/config.pp,Initial commit
81,pmlc_neutron/manifests/client/config.pp,Initial commit
82,pmlc_neutron/manifests/client/service.pp,Initial commit
83,pmlc_neutron/manifests/init.pp,Initial commit
84,pmlc_neutron/manifests/params.pp,Initial commit
85,pmlc_neutron/manifests/server/service.pp,Initial commit
86,pmlc_neutron/manifests/client.pp,Initial commit
87,pmlc_neutron/manifests/client/install.pp,Initial commit
88,pmlc_neutron/manifests/server.pp,Initial commit
89,pmlc_neutron/manifests/server/install.pp,Initial commit
90,pmlc_neutron/tests/init.pp,Initial commit
91,fuel-plugin-standalone-ceph/deployment_scripts/hosts.pp,add ssl part2
92,fuel-plugin-standalone-ceph/deployment_scripts/modules/standalone-ceph/manifests/hosts.pp,add ssl part2
93,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/radosgw_keystone.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
94,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/openstack_haproxy/ssl_keys_saving.pp,add ssl part1
95,fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,add ssl part1
96,fuel-plugin-standalone-ceph/deployment_scripts/ceph-mon-firewall.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
97,fuel-plugin-standalone-ceph/deployment_scripts/ceph-mon-hiera-override.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
98,fuel-plugin-standalone-ceph/deployment_scripts/cluster-haproxy.pp,"Added rados gw on ceph mons

Change-Id: Ie0f828a7304ff867562daf986e88ce2a23cab805"
99,fuel-plugin-standalone-ceph/deployment_scripts/cluster.pp,"Added rados gw on ceph mons

Change-Id: Ie0f828a7304ff867562daf986e88ce2a23cab805"
100,fuel-plugin-standalone-ceph/deployment_scripts/controller-firewall.pp,"Fixes for radosgw and haproxy stats

- radosgw manifest should enable mod_proxy
  before attempting to start apache
- Open port 10000 on controllers so that
  haproxy_backend_status resources can operate
  from ceph-mon role

Change-Id: I09c2ad1c6d00702f855dd04d0b9be82fc887b7b8"
101,fuel-plugin-standalone-ceph/deployment_scripts/enable_rados.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
102,fuel-plugin-standalone-ceph/deployment_scripts/hiera-override.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
103,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/enable_rados.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
104,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/mon.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
105,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/conf.pp,"Removed Ceph module from plugin.

- Ceph init.pp and conf.pp are copied from
  original ceph module and extended with support
  of standalone Ceph mon

Change-Id: I7d6c88a48408fe609f368e1ee4de642916916720"
106,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/init.pp,"Removed Ceph module from plugin.

- Ceph init.pp and conf.pp are copied from
  original ceph module and extended with support
  of standalone Ceph mon

Change-Id: I7d6c88a48408fe609f368e1ee4de642916916720"
107,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/openstack_haproxy/openstack_haproxy_radosgw.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
108,fuel-plugin-standalone-ceph/deployment_scripts/mon.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
109,fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,"Added rados gw on ceph mons

Change-Id: Ie0f828a7304ff867562daf986e88ce2a23cab805"
110,fuel-plugin-standalone-ceph/deployment_scripts/rados-pki.pp,"Added Ceph keys generation for keystone revocation

Change-Id: If9848be5669e01ce71fcc1398baf8a84a0711c87"
111,fuel-plugin-standalone-ceph/deployment_scripts/radosgw.pp,"Added rados gw on ceph mons

Change-Id: Ie0f828a7304ff867562daf986e88ce2a23cab805"
112,fuel-plugin-standalone-ceph/deployment_scripts/radosgw_keystone.pp,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
113,fuel-plugin-standalone-ceph/deployment_scripts/ceph_client.pp,"Added rados gw on ceph mons

Change-Id: Ie0f828a7304ff867562daf986e88ce2a23cab805"
114,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/examples/site.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
115,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/conf.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
116,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/ephemeral.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
117,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/init.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
118,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/keystone.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
119,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/mon.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
120,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/nova_compute.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
121,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/osds.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
122,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/osds/osd.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
123,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/params.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
124,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/pool.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
125,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/radosgw.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
126,fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph/manifests/ssh.pp,"Development snapshot

  * Change name to standalone-ceph
  * Deployment groups and their order are correct.
  * Some issue with ceph/init.pp (hardcoded role name)"
127,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/volumes_ephemeral.pp,9.0 Port
128,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,9.0 Port
129,fuel-plugin-external-ceph/deployment_scripts/conf.pp,"Basic integration with cinder, ephemeral

Change-Id: Id3c65aa62d575c7ba698b20ba729a7b3b0303ec0"
130,fuel-plugin-external-ceph/deployment_scripts/images.pp,"Added integration with external glance

Change-Id: I4fb1693f25dd01d5108eb70d2f40b9a31ac5b049"
131,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/images.pp,9.0 Port
132,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/radosgw_keystone.pp,9.0 Port
133,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/volumes_controller.pp,9.0 Port
134,fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/volumes_types.pp,9.0 Port
135,fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,"Implemented radosgw deployment

Change-Id: Ia1d9678479ec6b606d4a6fb0d1188541f7875da7"
136,fuel-plugin-external-ceph/deployment_scripts/volumes-and-ephemeral-compute.pp,"Basic integration with cinder, ephemeral

Change-Id: Id3c65aa62d575c7ba698b20ba729a7b3b0303ec0"
137,fuel-plugin-external-ceph/deployment_scripts/volumes-controller.pp,"Basic integration with cinder, ephemeral

Change-Id: Id3c65aa62d575c7ba698b20ba729a7b3b0303ec0"
138,fuel-plugin-external-ceph/deployment_scripts/volumes-types.pp,"Made cinder integration multibackend-aware

Change-Id: I3636642678dc4cb388fa64aac92af3051599826a"
139,fuel-plugin-external-ceph/deployment_scripts/radosgw.pp,"Implemented radosgw deployment

Change-Id: Ia1d9678479ec6b606d4a6fb0d1188541f7875da7"
140,fuel-plugin-external-ceph/deployment_scripts/volumes.pp,"Basic integration with cinder, ephemeral

Change-Id: Id3c65aa62d575c7ba698b20ba729a7b3b0303ec0"
141,pmlc_cinder/manifests/config.pp,Initial commit
142,pmlc_cinder/manifests/init.pp,Initial commit
143,pmlc_cinder/manifests/install.pp,Initial commit
144,pmlc_cinder/manifests/params.pp,Initial commit
145,pmlc_cinder/manifests/service.pp,Initial commit
146,pmlc_cinder/tests/init.pp,Initial commit
147,pmlc_keystone/manifests/config.pp,Initial commit
148,pmlc_keystone/manifests/init.pp,Initial commit
149,pmlc_keystone/manifests/params.pp,Initial commit
150,pmlc_keystone/manifests/install.pp,Initial commit
151,pmlc_keystone/manifests/service.pp,Initial commit
152,pmlc_keystone/tests/init.pp,Initial commit
153,puppet-deployapp/manifests/config.pp,Initial Commit
154,puppet-deployapp/manifests/init.pp,Initial Commit
155,puppet-deployapp/manifests/install.pp,Initial Commit
156,puppet-deployapp/manifests/install/apache.pp,Initial Commit
157,puppet-deployapp/manifests/install/files.pp,Initial Commit
158,puppet-deployapp/manifests/install/ruby.pp,Initial Commit
159,puppet-deployapp/manifests/install/user.pp,Initial Commit
160,puppet-deployapp/manifests/install/yum.pp,Initial Commit
161,puppet-deployapp/manifests/params.pp,Initial Commit
162,puppet-deployapp/tests/init.pp,Initial Commit
163,puppet-foreman_proxy/manifests/config.pp,initial commit
164,puppet-foreman_proxy/manifests/init.pp,initial commit
165,puppet-foreman_proxy/manifests/install.pp,initial commit
166,puppet-foreman_proxy/manifests/params.pp,initial commit
167,puppet-foreman_proxy/manifests/plugin.pp,initial commit
168,puppet-foreman_proxy/manifests/plugin/abrt.pp,initial commit
169,puppet-foreman_proxy/manifests/plugin/abrt/params.pp,initial commit
170,puppet-foreman_proxy/manifests/plugin/chef.pp,initial commit
171,puppet-foreman_proxy/manifests/plugin/chef/params.pp,initial commit
172,puppet-foreman_proxy/manifests/plugin/openscap.pp,initial commit
173,puppet-foreman_proxy/manifests/plugin/openscap/params.pp,initial commit
174,puppet-foreman_proxy/manifests/plugin/pulp.pp,initial commit
175,puppet-foreman_proxy/manifests/plugin/pulp/params.pp,initial commit
176,puppet-foreman_proxy/manifests/plugin/salt.pp,initial commit
177,puppet-foreman_proxy/manifests/plugin/salt/params.pp,initial commit
178,puppet-foreman_proxy/manifests/proxydhcp.pp,initial commit
179,puppet-foreman_proxy/manifests/proxydns.pp,initial commit
180,puppet-foreman_proxy/manifests/puppetca.pp,initial commit
181,puppet-foreman_proxy/manifests/register.pp,initial commit
182,puppet-foreman_proxy/manifests/service.pp,initial commit
183,puppet-foreman_proxy/manifests/settings_file.pp,initial commit
184,puppet-foreman_proxy/manifests/tftp.pp,initial commit
185,puppet-foreman_proxy/manifests/tftp/copy_file.pp,initial commit
186,puppet-foreman_proxy/manifests/tftp/sync_file.pp,initial commit
187,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/slave/configure.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
188,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/master/configure.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
189,fuel-plugin-openldap/deployment_scripts/openldap_slave.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
190,fuel-plugin-openldap/deployment_scripts/openldap/manifests/controller.pp,First glance changes and fancy changes
191,fuel-plugin-openldap/deployment_scripts/openldap/manifests/openldap_master.pp,First glance changes and fancy changes
192,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/firewall.pp,First glance changes and fancy changes
193,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/init.pp,First glance changes and fancy changes
194,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/install.pp,First glance changes and fancy changes
195,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/logging.pp,First glance changes and fancy changes
196,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/master/configure.pp,First glance changes and fancy changes
197,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/master/dit.pp,First glance changes and fancy changes
198,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/master/key_infra.pp,First glance changes and fancy changes
199,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/openldap_master.pp,First glance changes and fancy changes
200,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/openldap_slave.pp,First glance changes and fancy changes
201,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/slave/cacert.pp,First glance changes and fancy changes
202,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/slave/configure.pp,First glance changes and fancy changes
203,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/slave/keystone_config.pp,First glance changes and fancy changes
204,fuel-plugin-openldap/deployment_scripts/openldap/modules/openldap/manifests/slave/keystone_params.pp,First glance changes and fancy changes
205,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/firewall.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
206,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/init.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
207,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/install.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
208,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/logging.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
209,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/master/dit.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
210,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/master/key_infra.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
211,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/openldap_ks.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
212,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/openldap_master.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
213,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/openldap_slave.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
214,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/slave/cacert.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
215,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/slave/keystone_config.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
216,fuel-plugin-openldap/deployment_scripts/modules/openldap/manifests/slave/keystone_params.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
217,fuel-plugin-openldap/deployment_scripts/openldap_ks.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
218,fuel-plugin-openldap/deployment_scripts/openldap_master.pp,"Plugin refactoring

* Plugin conveted to package versiom 3.0.0
* Removed ubuntu LDAP packeges
* Keystone configuration is implemented but not apllied due to possibele
  issue with LDAP updateref parameter support

Change-Id: Id918ad82ede5bfa5db0e6028760b4333d5c7a5c5"
219,fuel-plugin-openldap/deployment_scripts/puppet/manifests/controller.pp,First glance changes and fancy changes
220,fuel-plugin-openldap/deployment_scripts/puppet/manifests/openldap_master.pp,First glance changes and fancy changes
221,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/firewall.pp,First glance changes and fancy changes
222,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/init.pp,First glance changes and fancy changes
223,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/install.pp,First glance changes and fancy changes
224,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/logging.pp,First glance changes and fancy changes
225,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/master/configure.pp,First glance changes and fancy changes
226,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/master/dit.pp,First glance changes and fancy changes
227,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/master/key_infra.pp,First glance changes and fancy changes
228,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/openldap_master.pp,First glance changes and fancy changes
229,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/openldap_slave.pp,First glance changes and fancy changes
230,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/slave/cacert.pp,First glance changes and fancy changes
231,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/slave/configure.pp,First glance changes and fancy changes
232,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/slave/keystone_config.pp,First glance changes and fancy changes
233,fuel-plugin-openldap/deployment_scripts/puppet/modules/plugin_sscc_openldap/manifests/slave/keystone_params.pp,First glance changes and fancy changes
234,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/init.pp,unneeded modules removed
235,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/linux.pp,unneeded modules removed
236,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/linux/archlinux.pp,unneeded modules removed
237,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/linux/debian.pp,unneeded modules removed
238,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/linux/gentoo.pp,unneeded modules removed
239,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/linux/redhat.pp,unneeded modules removed
240,fuel-plugin-openldap/deployment_scripts/puppet/modules/firewall/manifests/params.pp,unneeded modules removed
241,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/examples/file_line.pp,unneeded modules removed
242,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/examples/has_interface_with.pp,unneeded modules removed
243,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/examples/has_ip_address.pp,unneeded modules removed
244,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/examples/has_ip_network.pp,unneeded modules removed
245,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/examples/init.pp,unneeded modules removed
246,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/manifests/init.pp,unneeded modules removed
247,fuel-plugin-openldap/deployment_scripts/puppet/modules/stdlib/manifests/stages.pp,unneeded modules removed
